match_minute	match_second	position_x	position_y	play_type	BodyPart	Number_Intervening_Opponents	Number_Intervening_Teammates	Interference_on_Shooter	outcome	position_xM	position_yM	position_xM_r	position_yM_r	position_xM_std	position_yM_std	position_xM_std_r	position_yM_std_r	BodyPartCode	Interference_on_Shooter_Code	distance_to_goalM	distance_to_centerM	angle	isFoot	isHead	header_distance_to_goalM	High	Low	Medium
80	0	30.67	5.99	Open Play	Left	2	0	Low	Missed	22.33	6.004127358490566	-22.33	-6.004127358490566	75.33	40.00412735849056	128.32999999999998	74.00412735849056	1	1	31.252175049698145	6.004127358490566	11.07645521275498	1	0	0.0	0	1	0
33	5	6.48	10.47	Open Play	Left	1	0	Medium	Blocked	46.52	10.494693396226417	-46.52	-10.494693396226417	99.52	44.49469339622642	152.51999999999998	78.49469339622641	1	2	12.334058110808396	10.494693396226417	58.30654005594594	1	0	0.0	0	0	1
11	0	11.72	0.5	Open Play	Head	1	0	Low	Missed	41.28	0.5011792452830188	-41.28	-0.5011792452830188	94.28	34.50117924528302	147.28	68.50117924528303	3	1	11.730711002999875	0.5011792452830188	2.4486323544557163	0	1	11.730711002999875	0	1	0
91	11	23.94	7.73	Open Play	Right	3	1	Medium	Missed	29.06	7.748231132075472	-29.06	-7.748231132075472	82.06	41.74823113207548	135.06	75.74823113207547	2	2	25.162644647891515	7.748231132075472	17.934282673719864	1	0	0.0	0	0	1
92	20	6.24	-0.5	Open Play	Head	4	2	High	Missed	46.76	-0.5011792452830188	-46.76	0.5011792452830188	99.76	33.49882075471698	152.76	67.49882075471697	3	3	6.260094299281959	0.5011792452830188	4.59197869525944	0	1	6.260094299281959	1	0	0
22	4	3.24	2.0	Open Play	Right	2	0	High	Goal	49.76	2.0047169811320757	-49.76	-2.0047169811320757	102.76	36.00471698113208	155.76	70.00471698113208	2	3	3.810051203650591	2.0047169811320757	31.74672821073698	1	0	0.0	1	0	0
72	26	5.49	15.46	Open Play	Right	2	0	Medium	Blocked	47.51	15.496462264150944	-47.51	-15.496462264150944	100.51	49.49646226415094	153.51	83.49646226415095	2	2	16.440208110126047	15.496462264150944	70.49206655711835	1	0	0.0	0	0	1
77	16	7.73	3.74	Open Play	Head	2	1	Medium	Missed	45.27	3.748820754716981	-45.27	-3.748820754716981	98.27	37.74882075471698	151.26999999999998	71.74882075471697	3	2	8.59107426641144	3.748820754716981	25.872009593458863	0	1	8.59107426641144	0	0	1
61	44	10.47	0.5	Open Play	Head	2	0	Low	Missed	42.53	0.5011792452830188	-42.53	-0.5011792452830188	95.53	34.50117924528302	148.53	68.50117924528303	3	1	10.481988391326448	0.5011792452830188	2.7405494921700937	0	1	10.481988391326448	0	1	0
71	56	14.71	-8.98	Open Play	Left	4	1	Medium	Missed	38.29	-9.001179245283017	-38.29	9.001179245283017	91.29	24.99882075471698	144.29	58.99882075471698	1	2	17.245443682483607	9.001179245283017	31.462832834625903	1	0	0.0	0	0	1
28	3	11.72	13.97	Open Play	Right	3	1	High	Saved	41.28	14.002948113207548	-41.28	-14.002948113207548	94.28	48.00294811320755	147.28	82.00294811320755	2	3	18.26036570995178	14.002948113207548	50.07179299436829	1	0	0.0	1	0	0
53	35	12.22	-6.98	Open Play	Right	1	0	Low	Missed	40.78	-6.996462264150943	-40.78	6.996462264150943	93.78	27.003537735849054	146.78	61.00353773584906	2	1	14.0811535114737	6.996462264150943	29.79294621761557	1	0	0.0	0	1	0
14	57	25.19	16.96	Open Play	Left	4	1	Low	Missed	27.81	17.0	-27.81	-17.0	80.81	51.0	133.81	85.0	1	1	30.389736754371533	17.0	34.01427126944108	1	0	0.0	0	1	0
40	50	7.23	-5.99	Open Play	Head	4	1	High	Missed	45.77	-6.004127358490566	-45.77	6.004127358490566	98.77	27.99587264150944	151.76999999999998	61.99587264150944	3	3	9.39800219924293	6.004127358490566	39.70781337591019	0	1	9.39800219924293	1	0	0
20	46	32.67	-2.49	Open Play	Right	2	0	Medium	Missed	20.33	-2.495872641509434	-20.33	2.495872641509434	73.33	31.504127358490567	126.33	65.50412735849056	2	2	32.765199224827484	2.495872641509434	4.368709221857562	1	0	0.0	0	0	1
55	16	25.44	-5.49	Open Play	Right	3	0	Medium	Missed	27.56	-5.502948113207547	-27.56	5.502948113207547	80.56	28.49705188679245	133.56	62.49705188679245	2	2	26.02836986706341	5.502948113207547	12.2056487743367	1	0	0.0	0	0	1
17	3	9.73	10.72	Open Play	Right	2	0	Medium	Blocked	43.27	10.745283018867925	-43.27	-10.745283018867925	96.27	44.74528301886792	149.26999999999998	78.74528301886792	2	2	14.495999694935549	10.745283018867925	47.838731255096086	1	0	0.0	0	0	1
19	36	15.46	7.98	Open Play	Right	1	1	High	Missed	37.54	7.998820754716981	-37.54	-7.998820754716981	90.54	41.99882075471698	143.54	75.99882075471697	2	3	17.40668645854492	7.998820754716981	27.356509639598627	1	0	0.0	1	0	0
14	22	13.22	5.49	Open Play	Head	5	2	High	Blocked	39.78	5.502948113207547	-39.78	-5.502948113207547	92.78	39.502948113207545	145.78	73.50294811320754	3	3	14.31959629098022	5.502948113207547	22.59997501958904	0	1	14.31959629098022	1	0	0
52	5	13.72	3.99	Open Play	Head	2	0	Medium	Missed	39.28	3.9994103773584895	-39.28	-3.9994103773584895	92.28	37.99941037735849	145.28	71.99941037735849	3	2	14.29103506980942	3.9994103773584895	16.251520605278195	0	1	14.29103506980942	0	0	1
80	6	18.21	-12.97	Open Play	Right	2	0	Low	Missed	34.79	-13.00058962264151	-34.79	13.00058962264151	87.78999999999999	20.99941037735849	140.79	54.99941037735849	2	1	22.374526375687463	13.00058962264151	35.52402232127262	1	0	0.0	0	1	0
